Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-10-04,2449.6,2454.0,2425.0,2442.0,2442.3,650389.0,15872.5
2017-10-05,2441.0,2443.45,2424.4,2430.0,2429.6,842343.0,20510.78
2017-10-06,2430.0,2455.0,2428.05,2451.0,2446.65,694594.0,16972.4
2017-10-09,2441.05,2467.95,2441.05,2449.1,2454.1,886808.0,21795.29
2017-10-10,2455.0,2469.95,2451.25,2453.4,2459.25,611005.0,15029.2
2017-10-11,2460.0,2514.45,2456.75,2500.0,2500.35,763873.0,19053.65
2017-10-12,2513.0,2555.0,2507.0,2546.9,2548.2,2503178.0,63317.34
2017-10-13,2548.2,2608.95,2523.0,2559.75,2558.6,2033160.0,52092.88
2017-10-16,2555.05,2590.0,2555.05,2587.0,2584.4,609295.0,15706.77
2017-10-17,2585.0,2614.95,2577.55,2594.6,2594.55,721508.0,18747.43
2017-10-18,2595.0,2613.65,2580.0,2592.0,2586.6,757072.0,19594.82
2017-10-19,2592.0,2595.8,2571.0,2583.4,2583.9,43411.0,1120.86
2017-10-23,2584.0,2629.0,2547.45,2590.0,2587.9,943044.0,24510.29
2017-10-24,2620.0,2620.9,2569.05,2575.0,2578.4,669510.0,17280.89
2017-10-25,2578.5,2614.0,2555.0,2560.0,2559.9,552553.0,14259.52
2017-10-26,2535.1,2569.15,2517.9,2531.7,2538.85,1503776.0,38213.29
2017-10-27,2538.0,2593.15,2530.3,2580.0,2584.3,704635.0,18090.75
2017-10-30,2586.0,2620.0,2581.7,2615.1,2616.2,568626.0,14822.9
2017-10-31,2601.3,2640.0,2601.3,2618.75,2624.0,796317.0,20925.79
2017-11-01,2624.0,2626.85,2578.85,2607.75,2602.85,370941.0,9621.75
2017-11-02,2608.5,2674.0,2606.75,2623.05,2626.15,734211.0,19381.59
2017-11-03,2632.4,2636.7,2602.8,2622.0,2620.1,333443.0,8735.41
2017-11-06,2620.0,2671.8,2611.75,2660.15,2665.55,688500.0,18187.52
2017-11-07,2670.0,2768.0,2666.05,2710.0,2710.05,1348446.0,36656.65
